direction,seed,method,accuracy,precision,recall,f1,tn,fp,fn,tp,total_error
NPM -> PyPI,0,Top5_RankFusion,0.7883310719131614,0.7837116154873164,0.7964721845318861,0.7900403768506057,575,162,150,587,312
NPM -> PyPI,1,Top5_RankFusion,0.7822252374491181,0.7841530054644809,0.7788331071913162,0.7814840027229408,579,158,163,574,321
NPM -> PyPI,2,Top5_RankFusion,0.8012211668928086,0.8091922005571031,0.7883310719131614,0.7986254295532647,600,137,156,581,293
NPM -> PyPI,3,Top5_RankFusion,0.7856173677069199,0.7919556171983356,0.7747625508819539,0.7832647462277091,587,150,166,571,316
NPM -> PyPI,4,Top5_RankFusion,0.7998643147896879,0.807799442896936,0.7869742198100407,0.7972508591065293,599,138,157,580,295
NPM -> PyPI,5,Top5_RankFusion,0.7327001356852103,0.7253613666228647,0.7489823609226595,0.7369826435246996,528,209,185,552,394
NPM -> PyPI,10,Top5_RankFusion,0.7666214382632293,0.7740585774058577,0.7530529172320217,0.7634112792297112,575,162,182,555,344
NPM -> PyPI,42,Top5_RankFusion,0.7862957937584804,0.7930555555555555,0.7747625508819539,0.7838023335621139,588,149,166,571,315
NPM -> PyPI,99,Top5_RankFusion,0.8208955223880597,0.8289290681502086,0.8086838534599728,0.8186813186813187,614,123,141,596,264
NPM -> PyPI,123,Top5_RankFusion,0.7754409769335142,0.7819444444444444,0.7639077340569878,0.7728208647906658,580,157,174,563,331
PyPI -> NPM,0,ExtraTrees_MeanStd,0.9382632293080054,0.9835329341317365,0.8914518317503393,0.9352313167259787,726,11,80,657,91
PyPI -> NPM,1,ExtraTrees_MeanStd,0.9423337856173677,0.9939393939393939,0.8900949796472184,0.9391553328561203,733,4,81,656,85
PyPI -> NPM,2,ExtraTrees_MeanStd,0.9396200814111262,0.9969325153374233,0.8819538670284939,0.9359251259899208,735,2,87,650,89
PyPI -> NPM,3,ExtraTrees_MeanStd,0.9436906377204884,0.9969604863221885,0.8900949796472184,0.9405017921146953,735,2,81,656,83
PyPI -> NPM,4,ExtraTrees_MeanStd,0.9389416553595658,0.9969278033794163,0.8805970149253731,0.9351585014409222,735,2,88,649,90
PyPI -> NPM,5,ExtraTrees_MeanStd,0.9402985074626866,0.996937212863706,0.8833107191316146,0.9366906474820144,735,2,86,651,88
PyPI -> NPM,10,ExtraTrees_MeanStd,0.9328358208955224,0.9984375,0.8670284938941656,0.9281045751633987,736,1,98,639,99
PyPI -> NPM,42,ExtraTrees_MeanStd,0.9402985074626866,0.996937212863706,0.8833107191316146,0.9366906474820144,735,2,86,651,88
PyPI -> NPM,99,ExtraTrees_MeanStd,0.9396200814111262,0.9969325153374233,0.8819538670284939,0.9359251259899208,735,2,87,650,89
PyPI -> NPM,123,ExtraTrees_MeanStd,0.9382632293080054,0.9938837920489296,0.8819538670284939,0.9345794392523364,733,4,87,650,91
